eventID,trackID,parentID,particle,time_ns,x_mm,y_mm,z_mm,energy_MeV,process,edep_MeV
3,20274,20155,e+,0.741319,6.104,-3.84822,73.0336,4.7725,conv,1.96926
3,20291,20287,e+,0.770098,11.8118,-9.30048,75.1067,0,conv,0.451764
3,20407,20362,e+,0.705158,7.80333,-3.54407,62.2979,2.31324,conv,1.20958
3,20463,20360,e+,0.742049,6.25279,-3.487,73.2737,0,conv,0.972533
3,20469,20359,e+,0.762115,5.50895,-4.9146,79.2161,0,conv,1.03457
3,20481,20358,e+,0.710807,7.83614,-3.73607,64.0368,16.4364,conv,1.03013
3,20497,20484,e+,0.750754,16.472,-7.64792,70.5129,2.16048,conv,1.16465
3,20510,20482,e+,0.717678,7.61336,-3.65177,66.083,4.23689,conv,0.0144582
3,20518,20511,e+,0.725426,7.49325,-3.4107,68.3897,11.7118,conv,0.922979
3,20554,18970,e+,0.690072,8.3665,-3.79337,57.8442,9.46472,conv,0.00749233
3,20593,18967,e+,0.752824,6.89864,-4.00642,76.5982,33.7622,conv,0.799096
3,20612,20600,e+,0.826662,4.04589,1.23909,97.845,14.5311,conv,0.0409426
3,20654,20594,e+,0.826546,1.9079,-5.52367,98.0417,0.709129,conv,0.23902
3,20667,18966,e+,0.677011,8.7003,-3.66426,53.9346,0,conv,2.02547
3,20690,18965,e+,0.733246,7.47763,-3.67172,70.7582,18.8866,conv,1.48536
3,20708,20695,e+,0.825098,-11.7461,9.25082,83.5316,0.418804,conv,0.697979
3,20748,18964,e+,0.707531,7.95499,-3.69313,63.0632,0,conv,0.881799
3,20752,20750,e+,0.7236,7.7179,-3.51171,67.8698,7.16824,conv,1.86832
3,20788,20784,e+,0.777446,12.8244,-0.395577,76.538,1.67232,conv,2.3599
3,20826,20770,e+,0.740961,7.67694,-3.22621,73.0481,7.66561,conv,2.04672
3,20895,20872,e+,0.730295,6.75869,-1.40675,69.1523,0,conv,0.984866
3,20906,20870,e+,0.75489,6.56557,-0.158577,76.6646,0,conv,1.23336
3,20919,20869,e+,0.726655,7.27725,-1.61449,68.2349,0.552042,conv,3.97356
3,20926,20868,e+,0.7428,6.3585,-0.529464,72.9361,0,conv,1.12721
3,20951,8330,e+,0.705937,7.92791,-3.37033,62.5784,1512.12,conv,1.13208
3,20994,20984,e+,0.806099,15.2987,7.28697,79.5243,1.65235,conv,0.964672
3,21004,20983,e+,0.772505,3.59695,0.120987,79.4365,0,conv,0.47417
3,21013,20980,e+,0.750737,6.3659,-3.73715,75.836,15.8005,conv,0.0321411
3,21025,21016,e+,0.763982,4.95164,-4.95891,75.7405,0.275181,conv,0.429732
3,21047,20979,e+,0.752088,6.04051,-3.71226,76.1736,0.557277,conv,2.98308
3,21055,20978,e+,0.738829,7.02652,-3.30602,72.3961,220.71,conv,0.726513
3,21080,21064,e+,0.754803,6.11313,-2.78235,77.0652,160.281,conv,0.435186
3,21128,21104,e+,0.871697,-15.0537,-17.8484,94.5003,0,conv,0.506352
3,21157,21096,e+,0.84952,-5.37562,-6.54996,102.599,2.79744,conv,1.54867
3,21173,21094,e+,0.797556,1.72768,-4.16398,88.9005,9.54874,conv,0.778013
3,21209,21088,e+,0.773871,4.20739,-2.92717,82.3612,2.56339,conv,2.61801
3,21238,21087,e+,0.813464,-0.413803,-2.78047,93.355,12.395,conv,1.36505
3,21256,21241,e+,0.851237,-6.85873,-7.89297,101.099,1.51488,conv,2.90221
3,21272,21086,e+,0.854503,-1.95911,-2.18911,105.823,0.47098,conv,1.99813
3,21294,21082,e+,0.764764,5.36943,-2.5249,79.9407,0,conv,3.52707
3,21316,21308,e+,0.774278,8.03807,-4.72868,78.1413,0,conv,1.24997
